Codigo,Fase,Etapa,Actividad,Tarea,Responsable,Inicio,Fin,Duracion_dias_habiles,Estado,Predecesora,Tipo_vinculo,Es_hito,Ruta_critica,Nota_de_correccion
T2.2.1.03,F2 · Implementación,E2.2 SIGPRO · desarrollo y despliegue,A2.2.1 Construcción del sistema,Módulo de facultades por escuelas profesionales terminado,OR – MELI,02/11/2026,10/11/2026,7,NO INICIADO,T2.2.1.02,FC,NO,NO,Trasladada desde la Fase 1.
T2.2.1.04,F2 · Implementación,E2.2 SIGPRO · desarrollo y despliegue,A2.2.1 Construcción del sistema,Módulo del acta digital terminado,OR – MELI,11/11/2026,20/11/2026,8,NO INICIADO,T2.2.1.03,FC,NO,NO,Trasladada desde la Fase 1.
T2.2.1.05,F2 · Implementación,E2.2 SIGPRO · desarrollo y despliegue,A2.2.1 Construcción del sistema,Automatización de la carga de datos en SIGPRO,OR – MELI,23/11/2026,30/11/2026,6,NO INICIADO,T2.2.1.04,FC,NO,NO,"RENOMBRADA. Antes se llamaba «Automatización culminada», lo que chocaba con la exclusión de alcance."
T2.2.1.06,F2 · Implementación,E2.2 SIGPRO · desarrollo y despliegue,A2.2.1 Construcción del sistema,Pruebas y despliegue del módulo de procesos,OR – MELI,16/01/2027,28/02/2027,31,NO INICIADO,T2.1.1.02 ; T2.2.1.05,FC,NO,SI,
T2.3.1.01,F2 · Implementación,E2.3 Publicación oficial,A2.3.1 Emisión del MAPRO,Publicación de los MAPRO en SIGPRO,OGPL,01/03/2027,31/03/2027,23,NO INICIADO,T2.2.1.06,FC,NO,SI,
T2.3.1.02,F2 · Implementación,E2.3 Publicación oficial,A2.3.1 Emisión del MAPRO,Aprobación de los MAPRO por los Decanos,Decanos,01/04/2027,29/04/2027,21,NO INICIADO,T2.3.1.01,FC,NO,SI,
H2.3.1.03,F2 · Implementación,E2.3 Publicación oficial,A2.3.1 Emisión del MAPRO,Cierre de la Fase 2 — Implementación,OGPL,30/04/2027,30/04/2027,0,NO INICIADO,T2.3.1.02,FC,SI,SI,Declarado como hito. En v1 era una tarea de 29 días llamada «Cierre de Fase 2».
T3.1.1.01,F3 · Evaluación,E3.1 Medición de indicadores,A3.1.1 Recolección de datos,Medición de los indicadores de eficacia y eficiencia,OR / Facultades,01/05/2027,20/05/2027,14,NO INICIADO,H2.3.1.03,FC,NO,SI,
T3.1.2.01,F3 · Evaluación,E3.1 Medición de indicadores,A3.1.2 Auditoría interna,Auditoría de cumplimiento de los procesos implementados,OGPL / OCCAA,21/05/2027,10/06/2027,15,NO INICIADO,T3.1.1.01,FC,NO,SI,
T3.2.1.01,F3 · Evaluación,E3.2 Informe final,A3.2.1 Resultados del sistema,Elaboración del Informe de Evaluación,OR,11/06/2027,25/06/2027,11,NO INICIADO,T3.1.2.01,FC,NO,SI,
H3.2.1.02,F3 · Evaluación,E3.2 Informe final,A3.2.1 Resultados del sistema,Aprobación y cierre del proyecto,Rectorado / OGPL,30/06/2027,30/06/2027,0,NO INICIADO,T3.2.1.01,FC,SI,SI,Declarado como hito.
